[6], iter. T, 0.066041, dist. T, 0.047959, 
[0], iter. T, 0.063380, dist. T, 0.053707, 
[1], iter. T, 0.211903, dist. T, 0.114375, 
[2], iter. T, 0.282572, dist. T, 0.229069, 
[3], iter. T, 0.083460, dist. T, 0.048662, 
[4], iter. T, 0.122160, dist. T, 0.093689, 
[5], iter. T, 0.203575, dist. T, 0.181361, 
[6], iter. T, 0.201458, dist. T, 0.182413, 
[0], iter. T, 0.062621, dist. T, 0.052963, 
[1], iter. T, 0.292647, dist. T, 0.100233, 
[2], iter. T, 0.213482, dist. T, 0.145609, 
[3], iter. T, 0.101499, dist. T, 0.056607, 
[4], iter. T, 0.405850, dist. T, 0.375264, 
[5], iter. T, 0.163359, dist. T, 0.134941, 
[6], iter. T, 0.267016, dist. T, 0.243672, 
[7], iter. T, 0.120313, dist. T, 0.100457, 
[8], iter. T, 0.069518, dist. T, 0.048627, 
[9], iter. T, 0.304987, dist. T, 0.287062, 
[10], iter. T, 0.067979, dist. T, 0.051951, 
[0], iter. T, 0.062042, dist. T, 0.052701, 
[1], iter. T, 0.201257, dist. T, 0.096085, 
[2], iter. T, 0.153412, dist. T, 0.104391, 
[3], iter. T, 0.091230, dist. T, 0.054948, 
[4], iter. T, 0.377297, dist. T, 0.349174, 
[5], iter. T, 0.240489, dist. T, 0.216611, 
[6], iter. T, 0.153666, dist. T, 0.133038, 
[0], iter. T, 0.064731, dist. T, 0.055174, 
[1], iter. T, 0.189401, dist. T, 0.077204, 
[2], iter. T, 0.159987, dist. T, 0.111803, 
[3], iter. T, 0.192441, dist. T, 0.159813, 
[4], iter. T, 0.121010, dist. T, 0.095215, 
[5], iter. T, 0.204317, dist. T, 0.178574, 
[6], iter. T, 0.328937, dist. T, 0.308813, 
[0], iter. T, 0.065057, dist. T, 0.055571, 
[1], iter. T, 0.199469, dist. T, 0.126326, 
[2], iter. T, 0.277778, dist. T, 0.236731, 
[3], iter. T, 0.221780, dist. T, 0.187897, 
[4], iter. T, 0.111020, dist. T, 0.084092, 
[5], iter. T, 0.286549, dist. T, 0.264741, 
[0], iter. T, 0.077450, dist. T, 0.068067, 
[1], iter. T, 0.197026, dist. T, 0.098813, 
[2], iter. T, 0.300697, dist. T, 0.248421, 
[3], iter. T, 0.157640, dist. T, 0.120483, 
[4], iter. T, 0.284971, dist. T, 0.255798, 
[5], iter. T, 0.074374, dist. T, 0.048471, 
[6], iter. T, 0.121754, dist. T, 0.100190, 
[0], iter. T, 0.140758, dist. T, 0.131188, 
[1], iter. T, 0.325786, dist. T, 0.230978, 
[2], iter. T, 0.107463, dist. T, 0.056622, 
[3], iter. T, 0.111806, dist. T, 0.080639, 
[4], iter. T, 0.131071, dist. T, 0.104654, 
[5], iter. T, 0.069761, dist. T, 0.050884, 
[0], iter. T, 0.065888, dist. T, 0.056146, 
[1], iter. T, 0.226834, dist. T, 0.089009, 
[2], iter. T, 0.182628, dist. T, 0.119369, 
[3], iter. T, 0.195775, dist. T, 0.154040, 
[4], iter. T, 0.158920, dist. T, 0.129610, 
[5], iter. T, 0.149583, dist. T, 0.127004, 
[6], iter. T, 0.067142, dist. T, 0.049031, 
[0], iter. T, 0.086344, dist. T, 0.076402, 
[1], iter. T, 0.149827, dist. T, 0.049134, 
[2], iter. T, 0.114200, dist. T, 0.066765, 
[3], iter. T, 0.455733, dist. T, 0.423320, 
