[0], it. T, 0.187370, dist. T, 0.050763
[1], it. T, 0.391420, dist. T, 0.092158
[2], it. T, 0.269900, dist. T, 0.054755
[3], it. T, 0.255032, dist. T, 0.049777
[4], it. T, 0.253441, dist. T, 0.063801
[5], it. T, 0.238296, dist. T, 0.050731
[0], it. T, 0.277825, dist. T, 0.158889
[1], it. T, 0.490053, dist. T, 0.162236
[2], it. T, 0.382670, dist. T, 0.107296
[3], it. T, 0.281595, dist. T, 0.073338
[4], it. T, 0.252723, dist. T, 0.055597
[5], it. T, 0.253753, dist. T, 0.056010
[6], it. T, 0.267219, dist. T, 0.066237
[0], it. T, 0.277360, dist. T, 0.145667
[1], it. T, 0.380698, dist. T, 0.089439
[2], it. T, 0.289407, dist. T, 0.066979
[3], it. T, 0.288613, dist. T, 0.077163
[4], it. T, 0.243347, dist. T, 0.058979
[5], it. T, 0.269526, dist. T, 0.085858
[6], it. T, 0.262663, dist. T, 0.050432
[7], it. T, 0.311588, dist. T, 0.094524
[0], it. T, 0.220829, dist. T, 0.071875
[1], it. T, 0.452107, dist. T, 0.138161
[2], it. T, 0.265028, dist. T, 0.050877
[3], it. T, 0.252694, dist. T, 0.057452
[4], it. T, 0.287995, dist. T, 0.101116
[5], it. T, 0.246588, dist. T, 0.049799
[6], it. T, 0.385768, dist. T, 0.139089
[0], it. T, 0.190279, dist. T, 0.050919
[1], it. T, 0.759403, dist. T, 0.281522
[2], it. T, 0.337091, dist. T, 0.050547
[3], it. T, 0.287734, dist. T, 0.074103
[4], it. T, 0.295012, dist. T, 0.097841
[5], it. T, 0.261068, dist. T, 0.083303
[0], it. T, 0.215699, dist. T, 0.052457
[1], it. T, 0.405621, dist. T, 0.098447
[2], it. T, 0.309043, dist. T, 0.085427
[3], it. T, 0.233439, dist. T, 0.052184
[4], it. T, 0.266147, dist. T, 0.076716
[5], it. T, 0.239641, dist. T, 0.056709
[0], it. T, 0.219776, dist. T, 0.056865
[1], it. T, 0.457545, dist. T, 0.119142
[2], it. T, 0.281504, dist. T, 0.053919
[3], it. T, 0.291879, dist. T, 0.090310
