[6], iter. T, 0.384868, dist. T, 0.364178, 
[7], iter. T, 0.094313, dist. T, 0.076122, 
[0], iter. T, 0.058832, dist. T, 0.050235, 
[1], iter. T, 0.296143, dist. T, 0.194323, 
[2], iter. T, 0.138778, dist. T, 0.080857, 
[3], iter. T, 0.074205, dist. T, 0.043271, 
[4], iter. T, 0.094216, dist. T, 0.069704, 
[5], iter. T, 0.066393, dist. T, 0.043754, 
[6], iter. T, 0.169930, dist. T, 0.151447, 
[0], iter. T, 0.054796, dist. T, 0.046073, 
[1], iter. T, 0.221206, dist. T, 0.115473, 
[2], iter. T, 0.115296, dist. T, 0.067662, 
[3], iter. T, 0.205248, dist. T, 0.166750, 
[4], iter. T, 0.461502, dist. T, 0.436644, 
[5], iter. T, 0.062989, dist. T, 0.043206, 
[6], iter. T, 0.154054, dist. T, 0.133531, 
[0], iter. T, 0.054323, dist. T, 0.045729, 
[1], iter. T, 0.401120, dist. T, 0.284658, 
[2], iter. T, 0.160987, dist. T, 0.106222, 
[3], iter. T, 1.428721, dist. T, 1.391213, 
[4], iter. T, 0.210231, dist. T, 0.182546, 
[5], iter. T, 0.437546, dist. T, 0.413897, 
[6], iter. T, 0.264332, dist. T, 0.181042, 
[0], iter. T, 0.183234, dist. T, 0.173780, 
[1], iter. T, 0.429057, dist. T, 0.355110, 
[2], iter. T, 0.335670, dist. T, 0.287633, 
[3], iter. T, 0.109650, dist. T, 0.079522, 
[4], iter. T, 0.550370, dist. T, 0.524597, 
[5], iter. T, 0.094929, dist. T, 0.074588, 
[6], iter. T, 0.419402, dist. T, 0.403695, 
[0], iter. T, 0.155658, dist. T, 0.146746, 
[1], iter. T, 0.408548, dist. T, 0.287587, 
[2], iter. T, 0.405735, dist. T, 0.356852, 
[3], iter. T, 0.134621, dist. T, 0.102482, 
[4], iter. T, 0.219716, dist. T, 0.193176, 
[5], iter. T, 0.068344, dist. T, 0.048709, 
[6], iter. T, 0.090186, dist. T, 0.074947, 
[0], iter. T, 0.220892, dist. T, 0.212029, 
[1], iter. T, 0.156461, dist. T, 0.079981, 
[2], iter. T, 0.131192, dist. T, 0.088050, 
